id,feat0,feat1,feat2,feat3,feat4,treatment,target
0,0.40072882,0.8084128,0.9433854,0.19877039,-2.8963547,1,906
1,1.1158893,-2.1070724,-0.51232177,-0.20680012,0.7056031,1,558
2,-0.15370418,-0.010682055,-0.38601986,0.27470753,-0.27732682,1,386
3,-1.5984114,0.08452897,-1.2717338,-1.5524095,0.81976223,0,391
4,2.3284044,-1.7316629,0.06939483,0.33940274,0.6294776,0,434
5,-0.6775923,0.88594586,1.1553845,-0.9051345,2.4684095,1,974
6,-0.75023586,0.69239455,-0.8796809,1.7683407,0.9134523,0,829
7,0.12427588,-0.6609198,0.28536052,0.6166741,0.12586261,1,530
8,-0.27575138,0.53094035,1.1018859,-0.2348322,-0.42786005,0,552
9,0.97827405,-0.2823797,0.061426472,0.18545884,1.0390178,0,595
10,0.1109746,1.3482602,0.07643537,-1.0288136,0.04057827,0,466
11,0.585907,0.25793186,0.13117044,1.1409006,-1.1054527,0,426
12,-1.3708903,2.6639478,0.7785887,0.4858891,1.143938,0,915
13,0.93026745,1.283299,0.65460587,-1.1483727,-0.8610853,1,1167
14,1.5789745,-0.4942297,-0.66336757,-1.1412709,0.6208498,1,648
15,0.16311267,-1.4124274,-1.4239721,0.094806634,-0.22655678,1,383
16,-0.92346823,-0.106968805,0.7823932,-0.12869424,-0.68444544,0,408
17,1.2848163,0.22018743,0.24197772,-0.35857025,0.4446959,1,905
18,0.50287443,0.81728727,-0.46578997,-1.0233794,0.22040206,1,685
19,0.70523363,-0.18712558,0.8438699,-0.6639504,-0.155603,1,745
20,0.043435924,1.3648741,-1.2550746,1.0185,0.05978831,1,745
21,1.4545591,-0.34175387,-0.8790406,0.4680183,-0.8729937,1,573
22,-1.0957757,-0.79646957,-0.42432827,-0.029806262,-0.8554179,1,249
23,0.73745733,-0.01927989,-0.094586454,0.28977466,-0.18692109,1,594
24,-0.8820016,0.3059854,-0.2155407,0.03098114,-1.0785033,1,300
25,0.36616597,-1.0068494,0.94313985,-0.6670873,1.2583243,1,564
26,0.28100905,-0.048169333,0.64644516,-1.4118086,-1.4753302,1,630
27,-0.91474396,-1.3792496,-0.34995627,0.13963087,1.3713013,0,683
28,-0.15907586,-2.1462867,0.51508933,-0.12017076,0.12385886,0,343
29,-1.7610127,-0.15496044,-0.26281756,-0.80031055,1.2370664,0,504
30,-0.31137437,1.2273573,0.5249244,0.3443747,-0.51177096,0,506
31,0.27185237,0.37448224,-0.26777712,-0.17140457,0.5998744,1,602
32,0.41840044,1.0172231,-0.56425864,2.1188452,1.0429596,0,1003
33,-1.0051513,-0.44226545,-1.5519376,1.112087,0.3070114,0,703
34,0.18603869,-0.7400571,-0.74588805,-1.6866367,-0.043149687,0,300
35,0.6783623,0.83157074,0.34434566,0.72759765,-0.9980748,0,526
36,0.8307289,-0.013926058,-2.687961,-0.5413213,-0.40398753,0,170
37,-1.4430796,1.4417976,-1.6184677,1.5551399,-0.76226145,1,515
38,-0.5628967,-0.3024997,-0.838682,-0.335345,1.4528915,0,541
39,0.03290887,0.69347787,0.84699684,1.4713875,0.47377717,0,909
40,0.7281044,-0.40660438,0.9600958,-0.072057225,0.44023323,0,547
41,-1.1139203,0.63957155,-1.2472264,-1.0954493,-0.2248771,0,381
42,-1.945529,1.4074646,0.8216606,-0.88402194,1.2403419,0,474
43,-0.45595193,-0.24760203,0.5010801,0.5652705,0.6384028,0,558
44,-0.6574223,1.1500374,0.5626585,0.2925747,-1.7972523,1,617
45,0.05276639,1.3762531,1.4792038,0.35377523,-2.142563,1,1075
46,0.7517596,0.47285804,-1.5724759,0.14849445,0.0048297644,1,518
47,0.41496044,-1.610842,-0.25114414,-0.42654705,-0.18994187,0,293
48,-0.19360855,-1.4487954,1.2886662,0.1352353,0.810227,1,541
49,-0.81131935,0.60300595,-0.40223905,-0.54739743,0.89246845,0,370
50,-0.23166586,1.4945037,0.5884775,0.1226941,-2.9075966,1,824
51,0.83392316,-1.5838883,0.69363534,1.1913421,1.4024471,1,955
52,-0.117791064,-0.3266142,1.7899301,1.0063062,-0.9957096,1,615
53,-0.21197663,-1.1035151,-1.7365168,-1.0308679,0.5274177,1,351
54,1.001321,0.0027777525,-0.47029063,1.1867139,-1.0475227,0,300
